#,Логин,Подкласс,Умение,Логин совпадает,Выдан слот,Был реролл,Сирус,Убер Атзири,"Ол, босс спуска",Мейвен,Убер Древний
1,imcardiff,Saboteur,Firestorm,Да,Да,,Да,Да,Да,,
2,dblma,Scion,Smite,Да,Да,Да,,,,,
3,nikitapavlov,Necromancer,Earthshatter,Да,Да,Да,,,,,
4,sacrumdad,Berserker,Dual Strike,Да,Да,Да,Да,Да,Да,,Да
5,MEXANOID24,Assassin,Power Siphon,Да,Да,Да,,,,,
6,Catihfakhon,Assassin,Reave,Да,Да,Да,Да,Да,Да,,
7,wgassdf,Inquisitor,Molten Strike,Да,Да,Да,,,,,
8,SvinkaHanabi,Juggernaut,Lacerate,Да,Да,Да,,,,,
9,Shoshamaru,Pathfinder,Static Strike,Да,Да,Да,,,,,
10,Klaizz,Assassin,Blade Vortex,Да,Да,,,,,,
11,Vintol,Inquisitor,Double Strike,Да,Да,Да,,,,,
12,Мэллга,Necromancer,Summon Lightning Golem,Да,Да,,,,,,
13,Anachpokiy,Deadeye,Shattering Steel,Да,Да,,,,,,
14,AvantGardeVibe,Raider,Wintertide Brand,Да,Да,,Да,Да,Да,,
15,Inokenty10,Champion,Exsanguinate,Да,Да,,,,,,
16,Blazze29,Berserker,Voltaxic Burst,Да,Да,Да,,,,,
17,skajinet,Necromancer,Raise Zombie,Да,Да,Да,,,,,
18,DarkLordArioh,Trickster,Hexblast,Да,Да,,,,,,
19,Sad231,Deadeye,Spectral Helix,Да,Да,Да,,,,,
20,AlexMystik,Berserker,Bodyswap,Да,Да,Да,,,,,
21,MrSwan007,Assassin,Summon Raging Spirit,Да,Да,,,,,,
22,allrandom2,Occultist,Scorching Ray,Да,Да,Да,,,,,
23,ZavStas,Gladiator,Lightning Spire Trap,Да,Да,,,,,,
24,greenhost87,Trickster,Artillery Ballista,Да,Да,,,,,,
25,Helopy,Scion,Scorching Ray,Да,Да,Да,,,,,
26,falcon_killa,Occultist,Siphoning Trap,Да,Да,,,,,,
27,ulitko2,Chieftain,Fireball,Да,Да,Да,Да,,Да,,
28,HappiestMan,Slayer,Sweep,Да,Да,Да,,,,,
29,spottycatua,Raider,Dual Strike,Да,Да,Да,,,,,
30,Egoiste,Guardian,Heavy Strike,Да,Да,Да,,,,,
31,puzzlo,Chieftain,Armageddon Brand,Да,Да,Да,,,,,
32,Exdeil,Chieftain,Sunder,Да,Да,,,,,,
33,zzVestnikzz,Elementalist,Storm Brand,Да,Да,Да,Да,Да,,,
34,1000gpm,Guardian,Elemental Hit,Да,Да,,,,,,
35,rshserga,Gladiator,Cold Snap,Да,Да,Да,,,,,
36,abbas_obscurus,Raider,Hexblast,Да,Да,,,,,,
37,Maturyn,Scion,Toxic Rain,Да,Да,Да,,,,,
38,Qetzalkoatl,Pathfinder,Penance Brand,Да,Да,Да,,,,,
39,Maziva,Hierophant,Winter Orb,Да,Да,,,,,,
40,Izzych,Scion,Magma Orb,Да,Да,,,,,,
41,Xitxarm,Chieftain,Bladefall,Да,Да,,,,,,
42,_EH0T_,Hierophant,Artillery Ballista,Да,Да,,,,,,
43,Alret,Saboteur,Rain of Arrows,Да,Да,,,,,,
44,fakel979,Raider,Creeping Frost,Да,Да,Да,,,,,
45,Jortle,Necromancer,Stormblast Mine,Да,Да,,,,,,
46,ElderXedrix,Assassin,Creeping Frost,Да,Да,Да,,,,,
47,symarchi,Saboteur,Flamethrower Trap,Да,Да,,,,,,
48,Shakawakamakapaw,Raider,Ice Nova,Да,Да,,,,,,
49,Alex222438,Pathfinder,Blade Vortex,Да,Да,Да,,,,,
50,Fanaberiya,Raider,Cremation,Да,Да,Да,,,,,
51,xxxJohnBastartxxx,Gladiator,Ground Slam,Да,Да,,,,,,
52,mibius,Scion,Molten Strike,Да,Да,,,,,,
53,EXEaLew,Scion,Eye of Winter,Да,Да,,,,,,
54,YouRezZ,Chieftain,Dark Pact,Да,Да,Да,,,,,
55,PinkerShtain,Pathfinder,Molten Strike,Да,Да,Да,Да,Да,Да,Да,Да
56,C0R1X,Inquisitor,Crackling Lance,Да,Да,,,,,,
57,MEFFISTOF,Hierophant,Winter Orb,Да,Да,Да,,,,,
58,DdayAngelL,Elementalist,Flame Surge,Да,Да,Да,,,,,
59,povetevivan,Hierophant,Crackling Lance,Да,Да,Да,Да,,,,
60,zepo,Raider,Summon Ice Golem,Да,Да,Да,,,,,
61,L0ve1n,Scion,Crackling Lance,Да,Да,Да,,,,,
62,dimshu,Raider,Absolution,Да,Да,,,,,,
63,Oxxxymimo,Assassin,Firestorm,Да,Да,Да,,,,,
64,CapAsder,Juggernaut,Blade Blast,Да,Да,Да,,,,,
65,WiseMoray,Gladiator,Ethereal Knives,Да,Да,Да,,,,,
66,mykyta2013,Chieftain,Blight,Да,Да,Да,,,,,
67,DiusDik,Occultist,Discharge,Да,Да,Да,,,,,
68,Zungulus13,Champion,Ice Crash,Да,Да,Да,,,,,
69,DARKPERSEI,Slayer,Static Strike,Да,Да,Да,,,,,
70,CHAD_KAPER,Assassin,Lightning Trap,Да,Да,,,,,,
71,thio_tin,Hierophant,Seismic Trap,Да,Да,,,,,,
72,Zoltir,Pathfinder,Blight,Да,Да,,,,,,
73,VulGr1mm,Chieftain,Ice Spear,Да,Да,Да,,,,,
74,Dmrlz666,Champion,Glacial Hammer,Да,Да,Да,,,,,
75,Про100чел,Assassin,Icicle Mine,Да,Да,Да,,,,,
76,retion,Trickster,Voltaxic Burst,Да,Да,,,,,,
77,Azanu34rus,Trickster,Spectral Helix,Да,Да,,,,,,
78,xxXDikijXxx,Saboteur,Spark,Да,Да,,,,,,
79,sDeornot,Chieftain,Hexblast,Да,Да,,,,,,
80,ken4yk,Pathfinder,Stormbind,Да,Да,Да,,,,,
81,altrudja,Occultist,Heavy Strike,Да,Да,Да,,,,,
82,AlterRock,Juggernaut,Ice Crash,Да,Да,Да,,,,,
83,maximka3210,Inquisitor,Poisonous Concoction,Да,Да,Да,,,,,
84,OwerFox,Scion,Divine Ire,Да,Да,,,,,,
85,rPyCTHbIu1,Trickster,Wild Strike,Да,Да,Да,,,,,
86,Gopniki95,Elementalist,Lightning Strike,Да,Да,Да,,,,,
87,Graims,Slayer,Double Strike,Да,Да,,,,,,
88,advacuum,Deadeye,Tornado,Да,Да,Да,,,,,
89,ujinshepherd,Hierophant,Voltaxic Burst,Да,Да,Да,,,,,
90,helloanddietwice,Trickster,Flicker Strike,Да,Да,Да,,,,,
91,LoadeR1001,Elementalist,Storm Rain,Да,Да,,Да,Да,Да,Да,Да
92,Zarichev,Trickster,Creeping Frost,Да,Да,Да,,,,,
93,wtfmode,Occultist,Blade Flurry,Да,Да,Да,,,,,
94,kilgunking,Deadeye,Reave,Да,Да,,,,,,
95,TAKE_IT_BOY,Champion,Herald of Agony,Да,Да,Да,,,,,
96,godwarrr,Berserker,Divine Ire,Да,Да,Да,,,,,
97,Exelenc01,Deadeye,Tornado,Да,Да,Да,,,,,
98,ankumor,Assassin,Toxic Rain,Да,Да,,,,,,
99,BaronDePrime,Necromancer,Frostbolt,Да,Да,Да,Да,Да,Да,Да,Да
100,xuiznaet,Occultist,Spectral Helix,Да,Да,Да,,,,,
101,_Wh1skaS_,Raider,Righteous Fire,Да,Да,Да,,,,,
102,_chkdsk,Occultist,Righteous Fire,Да,Да,Да,,,,,
103,Wezzon,Berserker,Sunder,Да,Да,Да,,,,,
104,Anton_Medved,Pathfinder,Dominating Blow,Да,Да,,,,,,
105,FineProWOW,Pathfinder,Ice Shot,Да,Да,,,,,,
106,twoheaded,Scion,Flamethrower Trap,Да,Да,,,,,,
107,enfoll,Slayer,Consecrated Path,Да,Да,Да,,,,,
108,Leyles,Chieftain,Ice Crash,Да,Да,,,,,,
109,Madmonster13,Guardian,Wild Strike,Да,Да,Да,Да,Да,Да,Да,Да
110,Gerika,Slayer,Lightning Spire Trap,Да,Да,Да,,,,,
111,Estroof,Slayer,Power Siphon,Да,Да,Да,,,,,
