,
Animate Weapon,Scion
Artillery Ballista,Slayer
Barrage,Gladiator
Exsanguinate,Champion
Blade Blast,Juggernaut
Blade Flurry,Berserker
Blade Vortex,Chieftain
Bladefall,Inquisitor
Blast Rain,Hierophant
Burning Arrow,Guardian
Caustic Arrow,Necromancer
Charged Dash,Occultist
Cobra Lash,Elementalist
Cremation,Assassin
Cyclone,Saboteur
Detonate Dead,Trickster
Double Strike,Deadeye
Dual Strike,Raider
Elemental Hit,Pathfinder
Reap,
Ethereal Knives,
Explosive Arrow,
Explosive Trap,
Fire Trap,
Flamethrower Trap,
Flicker Strike,
Frenzy,
Frost Blades,
Galvanic Arrow,
Herald of Agony,
Ice Shot,
Ice Trap,
Lacerate,
Lancing Steel,
Lightning Arrow,
Lightning Strike,
Pestilent Strike,
Puncture,
Rain of Arrows,
Reave,
Scourge Arrow,
Seismic Trap,
Shattering Steel,
Shrapnel Ballista,
Siege Ballista,
Spectral Shield Throw,
Spectral Throw,
Split Arrow,
Summon Ice Golem,
Tornado Shot,
Toxic Rain,
Unearth,
Venom Gyre,
Viper Strike,
Volatile Dead,
Wild Strike,
Ancestral Protector,
Ancestral Warchief,
Animate Guardian,
Bladestorm,
Chain Hook,
Cleave,
Consecrated Path,
Dominating Blow,
Earthquake,
Earthshatter,
Glacial Hammer,
Ground Slam,
Heavy Strike,
Herald of Purity,
Holy Flame Totem,
Ice Crash,
Infernal Blow,
Molten Strike,
Perforate,
Searing Bond,
Shockwave Totem,
Smite,
Splitting Steel,
Static Strike,
Summon Flame Golem,
Summon Stone Golem,
Sunder,
Sweep,
Tectonic Slam,
Absolution,
Arc,
Boneshatter,
Armageddon Brand,
Ball Lightning,
Bane,
Blazing Salvo,
Blight,
Bodyswap,
Cold Snap,
Crackling Lance,
Creeping Frost,
Dark Pact,
Discharge,
Divine Ire,
Essence Drain,
Fireball,
Firestorm,
Flame Surge,
Flameblast,
Freezing Pulse,
Rage Vortex,
Frostbolt,
Glacial Cascade,
Hexblast,
Ice Nova,
Ice Spear,
Icicle Mine,
Incinerate,
Kinetic Blast,
Kinetic Bolt,
Lightning Spire Trap,
Lightning Tendrils,
Lightning Trap,
Magma Orb,
Orb of Storms,
Penance Brand,
Power Siphon,
Purifying Flame,
Pyroclast Mine,
Raise Spectre,
Raise Zombie,
Righteous Fire,
Scorching Ray,
Shock Nova,
Siphoning Trap,
Soulrend,
Spark,
Storm Brand,
Storm Burst,
Storm Call,
Stormbind,
Stormblast Mine,
Summon Carrion Golem,
Summon Chaos Golem,
Summon Holy Relic,
Summon Lightning Golem,
Summon Raging Spirit,
Summon Skeletons,
Vortex,
Wave of Conviction,
Winter Orb,
Wintertide Brand,
Shield Crush,
Blade Trap,
Explosive Concoction,
Spectral Helix,
Storm Rain,
Eye of Winter,
Forbidden Rite,
Manabond,
Summon Reaper,
Voltaxic Burst,
Tornado,
Poisonous Concoction,
